image_name,sentence,label,image_path,image_format,image_size,image_mode
04263.png,holocaust jokes are offensive ann frankly are not funny,1,/content/drive/MyDrive/curate138dataset/offensive_images/04263.png,PNG,"(550, 365)",RGB
26495.png,when your goat tells you she are not on the pil,1,/content/drive/MyDrive/curate138dataset/offensive_images/26495.png,PNG,"(825, 583)",RGB
56378.png,i am not racist racism is a crime and crime is only for blacks,1,/content/drive/MyDrive/curate138dataset/offensive_images/56378.png,PNG,"(800, 800)",RGB
25397.png,what do you call a black guy in a tree with a briefcase a branch manager,1,/content/drive/MyDrive/curate138dataset/offensive_images/25397.png,PNG,"(300, 400)",RGB
63285.png,he is like 20 and still plays video games bitch please you all 15 and pregnant,1,/content/drive/MyDrive/curate138dataset/offensive_images/63285.png,PNG,"(675, 800)",RGB
42693.png,cooking teacher today we will learn how to use the ovens the german kid,1,/content/drive/MyDrive/curate138dataset/offensive_images/42693.png,PNG,"(550, 366)",RGB
64027.png,islam is love ariana grande yeah if you are a goat,1,/content/drive/MyDrive/curate138dataset/offensive_images/64027.png,PNG,"(654, 800)",RGB
20751.png,islam is love ariana grande august 2017 hillary clinton rally yeah if you are a goat,1,/content/drive/MyDrive/curate138dataset/offensive_images/20751.png,PNG,"(654, 800)",RGB
94351.png,hmmm minyoda i am beat women i must,1,/content/drive/MyDrive/curate138dataset/offensive_images/94351.png,PNG,"(550, 366)",RGB
59467.png,new for 2015 peel and stick eyeslit stickers to make your garbage trash sharia compliant in compliance with sharia law you can now turn all your garbage into muslim trash,1,/content/drive/MyDrive/curate138dataset/offensive_images/59467.png,PNG,"(266, 400)",RGB
67384.png,what is hillarys favorite pizza little seizures,1,/content/drive/MyDrive/curate138dataset/offensive_images/67384.png,PNG,"(550, 410)",RGB
21086.png,when the muslim kid you bullied starts counting backwards,1,/content/drive/MyDrive/curate138dataset/offensive_images/21086.png,PNG,"(550, 366)",RGB
40153.png,okay class bring out your calculators mohammed,1,/content/drive/MyDrive/curate138dataset/offensive_images/40153.png,PNG,"(550, 360)",RGB
68379.png,i can put up with muslims killing canadians but i absolutely will not tolerate canadians criticizing muslims,1,/content/drive/MyDrive/curate138dataset/offensive_images/68379.png,PNG,"(825, 549)",RGB
59478.png,his grandparents died in the holocaust so we going to put an oven in the trunk,1,/content/drive/MyDrive/curate138dataset/offensive_images/59478.png,PNG,"(550, 369)",RGB
19256.png,as muslims our quran orders us to immigrate to other countries replace their governments with sharia law orders the murder of christians jews and all gay people while embracing slavery and pedophilia thanks democrats for making it so easy for us,1,/content/drive/MyDrive/curate138dataset/offensive_images/19256.png,PNG,"(825, 549)",RGB
95317.png,all those in favour of bringing swedish women to america as refugees instead of muslims please like and share,1,/content/drive/MyDrive/curate138dataset/offensive_images/95317.png,PNG,"(825, 551)",RGB
16490.png,i said glass of juice not gas the jews,1,/content/drive/MyDrive/curate138dataset/offensive_images/16490.png,PNG,"(575, 800)",RGB
13876.png,can i get an order of savage with no chili please,1,/content/drive/MyDrive/curate138dataset/offensive_images/13876.png,PNG,"(825, 534)",RGB
52903.png,throwing off a gay one with the boys,1,/content/drive/MyDrive/curate138dataset/offensive_images/52903.png,PNG,"(550, 366)",RGB
56389.png,no means no unless she is dyslexic then it is on,1,/content/drive/MyDrive/curate138dataset/offensive_images/56389.png,PNG,"(630, 800)",RGB
64805.png,we will kill every man woman child shia sunni zoroastrain kurd or christian but we do not touch israel why is that,1,/content/drive/MyDrive/curate138dataset/offensive_images/64805.png,PNG,"(641, 800)",RGB
79103.png,racism exists among all races in the world white people are just better at it like most things,1,/content/drive/MyDrive/curate138dataset/offensive_images/79103.png,PNG,"(400, 400)",RGB
89042.png,white people doing weird shit black people being criminals stereotypes they exist for a reason,1,/content/drive/MyDrive/curate138dataset/offensive_images/89042.png,PNG,"(550, 352)",RGB
27034.png,record black employment record black welfare record black imprisonment,1,/content/drive/MyDrive/curate138dataset/offensive_images/27034.png,PNG,"(787, 800)",RGB
05129.png,you ever get laid in a sleeping bag it is awful you cannot even move you are drenched in sweat and your scout master is covering your mouth,1,/content/drive/MyDrive/curate138dataset/offensive_images/05129.png,PNG,"(267, 400)",RGB
34658.png,pissed off two men becuase i refered to them as hipsters apparently the correct term is conjoined twins,1,/content/drive/MyDrive/curate138dataset/offensive_images/34658.png,PNG,"(825, 618)",RGB
67415.png,the tranny your you been girlfriend fucking,1,/content/drive/MyDrive/curate138dataset/offensive_images/67415.png,PNG,"(825, 547)",RGB
27953.png,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her,1,/content/drive/MyDrive/curate138dataset/offensive_images/27953.png,PNG,"(550, 366)",RGB
38704.png,chicken niggers,1,/content/drive/MyDrive/curate138dataset/offensive_images/38704.png,PNG,"(550, 366)",RGB
42309.png,we are new bold and we hate you we hate whites jews christians conservatives republicans patriots,1,/content/drive/MyDrive/curate138dataset/offensive_images/42309.png,PNG,"(825, 565)",RGB
59837.png,your purchase of 1999 comes to 2136 after theft,1,/content/drive/MyDrive/curate138dataset/offensive_images/59837.png,PNG,"(550, 366)",RGB
07192.png,when you are a nazi officer and someone gives you the name and location of a jewish family,1,/content/drive/MyDrive/curate138dataset/offensive_images/07192.png,PNG,"(301, 400)",RGB
75428.png,black people damn you all crackas some bitches you all so sensitive lmao mayo ass crackas white people black people,1,/content/drive/MyDrive/curate138dataset/offensive_images/75428.png,PNG,"(171, 400)",RGB
04326.png,when the chow mein was on point but you kind of miss your cat,1,/content/drive/MyDrive/curate138dataset/offensive_images/04326.png,PNG,"(550, 365)",RGB
52986.png,the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel,1,/content/drive/MyDrive/curate138dataset/offensive_images/52986.png,PNG,"(240, 400)",RGB
89610.png,elon musk presents infinite energy source,1,/content/drive/MyDrive/curate138dataset/offensive_images/89610.png,PNG,"(550, 366)",RGB
37641.png,when they asks why you dropped the muslim kid off from school to give the parents back their bomb,1,/content/drive/MyDrive/curate138dataset/offensive_images/37641.png,PNG,"(398, 400)",RGB
89740.png,africa 100 years ago africa today aids,1,/content/drive/MyDrive/curate138dataset/offensive_images/89740.png,PNG,"(825, 812)",RGB
67159.png,christianity making white people stupid for the past 2000 years,1,/content/drive/MyDrive/curate138dataset/offensive_images/67159.png,PNG,"(550, 426)",RGB
74152.png,i would like to report hello 911 emergency a misandry yes this girl came out of nowhere and totally ignored my man feelings,1,/content/drive/MyDrive/curate138dataset/offensive_images/74152.png,PNG,"(240, 400)",RGB
61802.png,black friday sale,1,/content/drive/MyDrive/curate138dataset/offensive_images/61802.png,PNG,"(825, 565)",RGB
96143.png,roses are red violets are blue mexicans are rapists and so am i,1,/content/drive/MyDrive/curate138dataset/offensive_images/96143.png,PNG,"(550, 366)",RGB
51734.png,when you are shooting up the school and the cops shoot the black kid that is running away,1,/content/drive/MyDrive/curate138dataset/offensive_images/51734.png,PNG,"(257, 400)",RGB
80169.png,muslim noises,1,/content/drive/MyDrive/curate138dataset/offensive_images/80169.png,PNG,"(254, 400)",RGB
42368.png,radical islam is there a kind that does not molest children and goats and behead people,1,/content/drive/MyDrive/curate138dataset/offensive_images/42368.png,PNG,"(550, 453)",RGB
41568.png,when she hits you with the super sloppy 2 handed mctwist while making eye contact and calling you daddy and you just go full autistic,1,/content/drive/MyDrive/curate138dataset/offensive_images/41568.png,PNG,"(550, 366)",RGB
60128.png,do not know how to deal with black people but i guess i will take a shot at it,1,/content/drive/MyDrive/curate138dataset/offensive_images/60128.png,PNG,"(550, 366)",RGB
84703.png,oh no hundreds of white people years of culture is being destroyed all other reaces first time,1,/content/drive/MyDrive/curate138dataset/offensive_images/84703.png,PNG,"(534, 800)",RGB
07258.png,some crazy rez girls be like if you ever leave me i will punch myself in the face and tell cops you did it,1,/content/drive/MyDrive/curate138dataset/offensive_images/07258.png,PNG,"(550, 365)",RGB
25639.png,why is not my drain working probably because the pipes black,1,/content/drive/MyDrive/curate138dataset/offensive_images/25639.png,PNG,"(550, 366)",RGB
08632.png,why do you have to punch a hole in the wall when you get upset white guys it defines who i am,1,/content/drive/MyDrive/curate138dataset/offensive_images/08632.png,PNG,"(550, 411)",RGB
38427.png,when you see another black person getting their ass whipped by the cops stop breaking the law,1,/content/drive/MyDrive/curate138dataset/offensive_images/38427.png,PNG,"(550, 366)",RGB
20759.png,this steak is so black it stole my television,1,/content/drive/MyDrive/curate138dataset/offensive_images/20759.png,PNG,"(266, 400)",RGB
62435.png,wing wing wing herro that is racist,1,/content/drive/MyDrive/curate138dataset/offensive_images/62435.png,PNG,"(675, 800)",RGB
62849.png,cumshot on jewish girl face 1943,1,/content/drive/MyDrive/curate138dataset/offensive_images/62849.png,PNG,"(550, 366)",RGB
62081.png,well let me tell you something brother fuck niccfps,1,/content/drive/MyDrive/curate138dataset/offensive_images/62081.png,PNG,"(336, 400)",RGB
85923.png,ford owner blew a rod was not talking about his engine,1,/content/drive/MyDrive/curate138dataset/offensive_images/85923.png,PNG,"(550, 366)",RGB
